category,value,observation_type,month,date
47.71 clothing stores,121.7,Constant prices,2019M05,2019-05-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",91.8,Constant prices,2019M05,2019-05-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M06,2019-06-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,87.6,Constant prices,2019M06,2019-06-01
47.64 sports shops,100.1,Constant prices,2019M06,2019-06-01
47.71 clothing stores,132.3,Constant prices,2019M06,2019-06-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.6,Constant prices,2019M06,2019-06-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M07,2019-07-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,100.6,Constant prices,2019M07,2019-07-01
47.64 sports shops,111.3,Constant prices,2019M07,2019-07-01
47.71 clothing stores,130.8,Constant prices,2019M07,2019-07-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",81.4,Constant prices,2019M07,2019-07-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M08,2019-08-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,106.1,Constant prices,2019M08,2019-08-01
47.64 sports shops,98.7,Constant prices,2019M08,2019-08-01
47.71 clothing stores,123.7,Constant prices,2019M08,2019-08-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",84.5,Constant prices,2019M08,2019-08-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M09,2019-09-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,95.4,Constant prices,2019M09,2019-09-01
47.64 sports shops,84.9,Constant prices,2019M09,2019-09-01
47.71 clothing stores,114.9,Constant prices,2019M09,2019-09-01
"47.74+47.75 retail sale of medical, cosmetic and toilet articles",96.1,Constant prices,2019M09,2019-09-01
47.11+47.2 retail sale with mostly food,,Constant prices,2019M10,2019-10-01
47.591-47.592 specialised stores for home furniture; specialised stores for office furniture,103.0,Constant prices,2019M10,2019-10-01
